[2026-05-15 23:21:46] [INFO] [rk3568_vision] ============================================================
[2026-05-15 23:21:46] [INFO] [rk3568_vision] RK3568 智能视觉识别系统启动
[2026-05-15 23:21:46] [INFO] [rk3568_vision] ============================================================
[2026-05-15 23:21:46] [INFO] [rk3568_vision] NPU 加速: 关闭
[2026-05-15 23:21:46] [INFO] [camera] 摄像头初始化，使用子码流
[2026-05-15 23:21:46] [INFO] [camera] RTSP 地址: rtsp://admin:***@192.168.0.66:554/Streaming/Channels/201
[2026-05-15 23:24:01] [INFO] [rk3568_vision] ============================================================
[2026-05-15 23:24:01] [INFO] [rk3568_vision] RK3568 智能视觉识别系统启动
[2026-05-15 23:24:01] [INFO] [rk3568_vision] ============================================================
[2026-05-15 23:24:01] [INFO] [rk3568_vision] NPU 加速: 关闭
[2026-05-15 23:24:01] [INFO] [camera] 摄像头初始化，使用子码流
[2026-05-15 23:24:01] [INFO] [camera] RTSP 地址: rtsp://admin:***@192.168.0.66:554/Streaming/Channels/201
[2026-05-15 23:24:02] [INFO] [camera] 视频流连接成功: 1920x1080 @ 25.0fps
[2026-05-15 23:24:02] [INFO] [ws_pusher] WebSocket 推送服务初始化: ws://0.0.0.0:8765
[2026-05-15 23:24:02] [INFO] [ws_pusher] WebSocket 推送服务已启动
[2026-05-15 23:24:02] [INFO] [camera] 视频流读取线程已启动
[2026-05-15 23:24:02] [INFO] [rk3568_vision] 开始实时检测...
[2026-05-15 23:24:02] [INFO] [rk3568_vision] WebSocket 客户端连接数: 0
[2026-05-15 23:24:02] [INFO] [ws_pusher] WebSocket 服务器运行中: ws://0.0.0.0:8765
[2026-05-15 23:24:03] [INFO] [rk3568_vision] FPS: 628.7 |  | 客户端: 0
[2026-05-15 23:24:04] [INFO] [rk3568_vision] FPS: 633.7 |  | 客户端: 0
[2026-05-15 23:24:05] [INFO] [rk3568_vision] FPS: 550.6 |  | 客户端: 0
[2026-05-15 23:24:06] [INFO] [rk3568_vision] FPS: 629.0 |  | 客户端: 0
[2026-05-15 23:24:07] [INFO] [rk3568_vision] FPS: 840.6 |  | 客户端: 0
[2026-05-15 23:24:08] [INFO] [rk3568_vision] FPS: 824.9 |  | 客户端: 0
[2026-05-15 23:24:09] [INFO] [rk3568_vision] FPS: 837.5 |  | 客户端: 0
[2026-05-15 23:24:10] [INFO] [rk3568_vision] FPS: 874.8 |  | 客户端: 0
[2026-05-15 23:24:11] [INFO] [rk3568_vision] FPS: 878.6 |  | 客户端: 0
[2026-05-15 23:24:12] [INFO] [rk3568_vision] FPS: 847.4 |  | 客户端: 0
[2026-05-15 23:24:13] [INFO] [rk3568_vision] FPS: 808.2 |  | 客户端: 0
[2026-05-15 23:24:14] [INFO] [rk3568_vision] FPS: 708.2 |  | 客户端: 0
[2026-05-15 23:24:15] [INFO] [rk3568_vision] FPS: 797.9 |  | 客户端: 0
[2026-05-15 23:24:16] [INFO] [rk3568_vision] FPS: 844.1 |  | 客户端: 0
[2026-05-15 23:24:17] [INFO] [rk3568_vision] FPS: 794.5 |  | 客户端: 0
[2026-05-15 23:24:18] [INFO] [rk3568_vision] FPS: 781.6 |  | 客户端: 0
[2026-05-15 23:24:19] [INFO] [rk3568_vision] FPS: 891.6 |  | 客户端: 0
[2026-05-15 23:24:20] [INFO] [rk3568_vision] FPS: 902.9 |  | 客户端: 0
[2026-05-15 23:24:21] [INFO] [rk3568_vision] FPS: 923.9 |  | 客户端: 0
[2026-05-15 23:24:22] [INFO] [rk3568_vision] FPS: 1095.5 |  | 客户端: 0
[2026-05-15 23:24:23] [INFO] [rk3568_vision] FPS: 1095.1 |  | 客户端: 0
[2026-05-15 23:24:24] [INFO] [rk3568_vision] FPS: 1036.5 |  | 客户端: 0
[2026-05-15 23:24:25] [INFO] [rk3568_vision] FPS: 1054.9 |  | 客户端: 0
[2026-05-15 23:24:26] [INFO] [rk3568_vision] FPS: 1087.1 |  | 客户端: 0
[2026-05-15 23:24:27] [INFO] [rk3568_vision] FPS: 1091.4 |  | 客户端: 0
[2026-05-15 23:24:28] [INFO] [rk3568_vision] FPS: 1078.0 |  | 客户端: 0
[2026-05-15 23:24:29] [INFO] [rk3568_vision] FPS: 924.4 |  | 客户端: 0
[2026-05-15 23:24:30] [INFO] [rk3568_vision] FPS: 928.5 |  | 客户端: 0
[2026-05-15 23:24:31] [INFO] [rk3568_vision] FPS: 1050.8 |  | 客户端: 0
[2026-05-15 23:24:32] [INFO] [rk3568_vision] FPS: 1048.1 |  | 客户端: 0
[2026-05-15 23:24:33] [INFO] [rk3568_vision] FPS: 1068.3 |  | 客户端: 0
